(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
8.616722565451518,-12.671826009291872,-0.003357781245259308,-18.1904710681364,NA,36.96870102422666,NA,6,-138.19064324732685,289.188978802346,0,0.340766711281503
10.342653025971895,-16.716432732046812,-0.006927251525177194,-16.64738755867737,0.008437591059472048,33.167769440683045,NA,7,-137.93974904853206,290.96687673784083,1.7778979354948206,0.140084966805817
2.358786918867786,2.8156700940626376,-0.0034060732731443387,-3.058407921011845,NA,NA,NA,5,-140.43684179791765,291.44511216726386,2.2561333649178437,0.110292003903988
8.7620333694136,-12.493251571674586,-0.0036821335667078527,-18.55164113088886,NA,36.5501578475895,7.897342382893431e-4,7,-138.1857677626978,291.4589141661723,2.269935363826278,0.109533499076181
6.552841613842885,-7.1625054109467055,-0.009715735283630535,-3.0809193671191966,0.014935691111387475,NA,NA,6,-139.60445380755021,292.01659992279275,2.827621120446736,0.0828794839314835
3.1354137655089827,NA,-0.003144420037774721,-2.423445609822561,NA,NA,NA,4,-142.1767589455885,292.73087638174303,3.541897579397016,0.0579887671708072
10.285578858783671,-16.905289174388137,-0.0067944050689749385,-16.39321931875271,0.008600054250329484,33.35469604740586,-4.907967670621253e-4,8,-137.9379507598647,293.28766622561176,4.098687423265744,0.0438973696042288
3.647921833373391,2.834944470561499,-0.005337181587864564,-6.234057507748522,NA,NA,0.00470980874118078,6,-140.26000465558053,293.3277016188534,4.138722816507368,0.0430273820017201
6.88004256509285,-6.599268494350712,-0.010204375827720533,-4.460204744182041,0.014105159979837809,NA,0.002047475917425085,7,-139.57316738860177,294.23371341798025,5.0447346156342405,0.0273531256089885
4.340592955412017,NA,-0.004940681553870401,-5.376039192287547,NA,NA,0.004384996004301814,5,-142.02817103101813,294.6277706334648,5.438791831118806,0.0224614879602758
2.24164297962087,NA,-0.0032800574583015576,NA,NA,NA,NA,3,-144.89467730132108,296.0136536680627,6.824674865716702,0.0112330539691001
1.7197806702047245,1.4536893357132699,-0.003433493002601153,NA,NA,NA,NA,4,-144.40926489607762,297.1958882827213,8.00690948037527,0.00621983495499362
5.754343032253246,-8.16546518294195,-0.009510218829105544,NA,0.014383844454504307,NA,NA,5,-143.691120588947,297.95366974932256,8.764690946976543,0.00425822598682896
7.7250318615570555,-15.928068753343895,NA,-19.7068306609035,NA,40.45915086850434,NA,5,-151.50598048905624,313.58338954954104,24.394410747195025,1.71900909525933e-06
1.1841733802096512,NA,NA,-2.9091477118438047,NA,NA,NA,3,-153.81000737983095,313.84431382508245,24.655335022736438,1.50875661769987e-06
0.8528777763044323,0.9934246757756618,NA,-3.14743474887311,NA,NA,NA,4,-153.62775506575468,315.6328686220754,26.443889819729407,6.1693505566219e-07
-1.053777060891491e-16,NA,NA,NA,NA,NA,NA,2,-156.9999113143632,318.1109337398375,28.921954937491478,1.78704070666688e-07
0.18263788693418961,-0.4236304183893016,NA,NA,NA,NA,NA,3,-156.96487874896124,320.15405656334303,30.96507776099702,6.4339245146613e-08
