(Intercept),EVI,GDD,NDMI,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-5169.263736124237,22524.027479224565,-4.400567702839028,15281.043584527884,-54830.6647399963,14.079715732689772,7,-873.972768848229,1763.0329163372346,0,0.802339490508316
-7759.926155809203,19340.326941911553,1.382122551449207,21720.13608952983,-47368.70011544996,NA,6,-876.6167065788504,1766.0411054653932,3.0081891281586195,0.178294603693639
-7392.8903840446965,20680.654438201327,NA,22344.296699226717,-48805.431424641036,NA,5,-880.7101384674834,1771.9917055063954,8.95878916916081,0.00909875179373466
119.4444058194247,NA,1.397155605699428,2217.456717245518,NA,NA,4,-882.6458526548357,1773.6690638002374,10.636147463002771,0.00393321867387986
2387.693779126143,NA,-1.983560799225234,-3339.5746347433,NA,8.252934104770187,5,-881.7952226615162,1774.161873894461,11.128957557226386,0.00307422563816515
258.48587307301096,-504.0965334557693,1.4440000457478004,2331.1356246645846,NA,NA,5,-882.5576088739949,1775.6866463194185,12.653729982183904,0.00143428552334109
2502.6630513016958,-470.54293454488896,-1.9177498842390224,-3197.1611023998353,NA,8.1990218183125,6,-881.7171915386845,1776.2420753850613,13.209159047826688,0.00108648998093404
937.2461443080027,NA,1.5212640684757437,NA,NA,NA,3,-886.2702509174734,1778.7648009003674,15.73188456313278,0.000307767559338028
986.4362229550807,NA,NA,2433.2680294705915,NA,NA,3,-886.6047540352654,1779.4338071359514,16.400890798716773,0.000220267276642429
745.5400100989564,534.0128188262804,1.4648995169126207,NA,NA,NA,4,-886.1671127174347,1780.7115839254354,17.678667588200824,0.000116274445711775
896.9139679407642,268.4418872873017,NA,2368.8784250083295,NA,NA,4,-886.5802478533287,1781.5378541972234,18.504937859988786,7.69240192856675e-05
1976.9019925972973,NA,NA,NA,NA,NA,2,-890.6868753711944,1785.4848618535,22.45194551626537,1.06900600671076e-05
1401.3618565197398,1334.9711428397445,NA,NA,NA,NA,3,-890.0521400774747,1786.32857922037,23.295662883135492,7.01082694514317e-06
