"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","ABBA.C1 = Year*Site",8,227.260464911505,0,1,1,-104.944518170038,1
"2","ABBA.C2 = Year",3,303.066965250401,75.8065003388966,3.45802083170967e-17,3.45802083170967e-17,-148.42439171611,1
"3","ABBA.C3 = Site",5,313.725779253298,86.4653143417933,1.6760831214884e-19,1.6760831214884e-19,-151.585111848871,1
"4","ABBA.C4 = Null",2,326.621681895008,99.3612169835033,2.65451922150527e-22,2.65451922150527e-22,-161.25678689345,1
