(Intercept),EVI,GDD,NDMI,EVI:NDMI,df,logLik,AICc,delta,weight
-66.35872675006213,218.69676148276258,0.04365943693142666,309.29969960631803,-636.6367288434506,6,-429.9804250259468,872.7685423595858,0,0.888085378083727
41.40896778545967,-48.01287623899063,0.04449107228268759,48.71096059910453,NA,5,-433.41277015734926,877.3969688861271,4.628426526541261,0.0877818378980991
28.165907545451372,NA,0.040029354827285514,37.88356752921299,NA,4,-435.97298721144057,880.3233329134472,7.55479055386138,0.0203213611852617
42.13743048188286,NA,0.0421496538590401,NA,NA,3,-439.29123662832785,884.8067723220763,12.038229962490504,0.00215966453899891
51.586357134788216,-26.320743348246133,0.044927783602990184,NA,NA,4,-438.4982333005128,885.3738250915917,12.60528273200589,0.00162649357847172
-54.7645485694602,261.0359474908064,NA,329.01611386029856,-682.021184740839,5,-441.8634680524943,894.2983646764171,21.529822316831314,1.87634720815612e-05
53.00574853302879,NA,NA,44.06669241348449,NA,3,-445.6202284135228,897.4647558924662,24.696213532880392,3.85247730572472e-06
61.079570012726265,-24.210201980324907,NA,49.87385367739039,NA,4,-445.0547107597277,898.4867800100214,25.71823765043564,2.31105548161289e-06
70.9431684507207,NA,NA,NA,NA,2,-449.410258344876,902.9316278008631,30.163085441277303,2.5039401124499e-07
71.70010668411238,-1.7557258567173293,NA,NA,NA,3,-449.40715993841025,905.0386189422411,32.27007658265529,8.73165613900367e-08
