(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-2.47097787948448,-14.305201330794828,0.025675878327227744,-58.67971621617799,-0.059155233347900536,145.12057845565502,NA,7,708.1163643516285,-1401.1761249296721,0,0.4654106355263
-3.0873777378969596,-19.497134380899876,0.02745206255735863,-53.475774934921965,-0.054269743059350985,149.17324966126404,-0.009475142983749444,8,708.346808784393,-1399.3221889973574,1.8539359323146982,0.184187108858619
9.360589420454707,-40.06223130516239,NA,-42.98806173716955,NA,105.2764460516554,NA,5,704.2601179709205,-1397.9646803862854,3.211444543386733,0.0934286301908058
8.47007891561001,-39.81989602543189,0.001008597625453831,-42.45309179228841,NA,104.32627061255575,NA,6,704.794547101455,-1396.804047473938,4.372077455734143,0.0522939860607846
-6.67885351681945,NA,NA,NA,NA,NA,NA,2,700.3116067298441,-1396.5151053515801,4.661019578092009,0.0452593968600818
-8.09105427619508,3.252302729090773,NA,NA,NA,NA,NA,3,701.053196213922,-1395.888210609662,5.287914320010032,0.0330811271503418
-7.573851970177941,NA,0.0012228947206129339,NA,NA,NA,NA,3,701.0113595600368,-1395.8045373018917,5.3715876277804,0.0317256749742572
-8.69992664976139,2.8701090821893938,0.0010584203402429942,NA,NA,NA,NA,4,701.5845323903584,-1394.8020923036527,6.374032626019471,0.0192190848902535
-7.087945927892484,NA,NA,1.003445515021447,NA,NA,NA,3,700.4702406577516,-1394.7222994973213,6.453825432350868,0.0184674068585204
-8.002384810426351,NA,0.0012259666391183633,1.0456191542297413,NA,NA,NA,4,701.1795941343462,-1393.9922157916283,7.183909138043873,0.0128194754488198
-15.72646526212786,19.8183513046136,0.010931659487920827,NA,-0.02366266316459386,NA,NA,5,702.2730767200367,-1393.9905978845177,7.185527045154458,0.0128091092820176
-8.115540133242995,4.043617756625674,NA,-0.7827376993447062,NA,NA,NA,4,701.1096111058396,-1393.852249734615,7.323875195057099,0.0119530025414978
-12.539308431960627,NA,0.007354546221571425,12.56739765652197,NA,NA,-0.015533101669028404,5,701.8664928793958,-1393.1774302032359,7.99869472643627,0.00852985821830688
-8.696106924382908,3.36001689219771,0.001029600230504539,-0.47945348901661455,NA,NA,NA,5,701.6045643522008,-1392.653573148846,8.522551780826234,0.00656428908103739
-15.698456022689845,20.14809734223911,0.010875519824515272,-0.3805749934901834,-0.023584206244397506,NA,NA,6,702.2848703292062,-1391.7846939294404,9.391431000231705,0.00425121405835635
