(Intercept),GDD,NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-8.122112203912438,0.009695765886656573,13.8542019811333,-0.015218967779319012,5,-133.44894825847612,277.4534520725078,0,0.818200630249438
-3.8287081514939407,0.003542032171666968,3.1697811252828454,NA,4,-136.0581574327195,280.4832873425032,3.0298352699954307,0.179862009101139
-2.7516655060561948,0.0038258594459265045,NA,NA,3,-141.66341919284093,289.5450202038637,12.091568131355928,0.00193735474692267
-1.6575228955263845,NA,4.100897702281858,NA,3,-154.3677994758955,314.9537807699728,37.50032869746502,5.88527686223123e-09
-2.7243261272947164e-15,NA,NA,NA,2,-161.25678689344986,326.62168189500784,49.16822982250005,1.72232204838077e-11
