(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
0.07288401188077374,NA,8.878333495956309e-5,0.151540264850799,NA,NA,-3.9932280990087274e-4,NA,5,235.7791891650152,-461.00282277447485,0,0.481517012313458
0.18553647262001735,NA,-7.268137631938684e-5,-0.12880285829579602,NA,NA,NA,NA,4,234.59594931745724,-460.82492615785026,0.17789661662459366,0.440536478801292
0.48492241257999247,-0.8602152464189614,NA,-0.9328987824551284,NA,1.9551429815450332,NA,NA,5,233.80536951721058,-457.0551834788656,3.9476392956092354,0.0668948453918737
0.14098444005792587,NA,NA,-0.14790907502398426,NA,NA,NA,NA,3,228.83371767290402,-451.4492535276262,9.553569246848667,0.00405583643620852
0.14177125169282526,NA,-8.421459036225584e-5,NA,NA,NA,NA,NA,3,228.45278317998205,-450.6873845417823,10.315438232692543,0.00277103929387439
0.1557813725665361,-0.04550247791178046,NA,-0.1362020658983654,NA,NA,NA,NA,4,229.1795185290567,-449.9920645810492,11.010758193425659,0.00195729313631357
0.1612026137393898,-0.05753728763750274,-7.689776387118597e-5,NA,NA,NA,NA,NA,4,229.02549305863627,-449.6840136402083,11.31880913426653,0.00167788990557378
0.16302195551311494,-0.06193346219634849,-7.949403675457673e-5,NA,6.21730170758014e-6,NA,NA,NA,5,229.0256045048571,-447.4956534541587,13.507169320316166,0.000561781048937897
0.1293072079127617,-0.11208700406984153,NA,NA,NA,NA,NA,NA,3,223.5607762346204,-440.90337065105894,20.099452123415915,2.08003700995318e-05
0.08120175438596491,NA,NA,NA,NA,NA,NA,NA,2,221.4200021301254,-438.73189615214267,22.270926622332183,7.02330236885636e-06
