(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-0.9185279195568303,9.241606992059612,0.007266873579318851,-20.58232867696987,-0.022540709922206574,22.50249069127552,0.011487841883007333,8,-235.27816780658821,487.3608048869194,0,0.196760695844754
-4.8422095866406885,17.925651448860137,0.007323865743691883,-10.214212623625418,-0.02139484023986698,NA,0.009961345990922691,7,-236.51166660206803,487.64555542635827,0.2847505394388463,0.170649710469324
-5.784227313293132,13.989765181318237,0.008919788874971567,-3.953861842314396,-0.015437882891013627,NA,NA,6,-237.65633836513538,487.77676512806084,0.41596024114141983,0.159813598685003
-2.6190423659284594,6.211745313016811,0.00907687890938779,-11.83370542421302,-0.01563303216039795,18.8458372424423,NA,7,-236.78443874262217,488.19109970746655,0.8302948205471239,0.12990986166606
-1.5344155901322596,3.698169449815618,0.002448379048949711,-3.802384044554622,NA,NA,NA,5,-238.95424916949472,488.23816866865974,0.8773637817403142,0.126888196672085
1.6224567444735685,-4.057541990553342,0.002522213527972854,-11.528490736970072,NA,18.482643555340513,NA,6,-238.12712930955053,488.71834701689113,1.357542129971705,0.0998048903330794
-0.3068908439964243,3.681389893774459,5.023970258717777e-4,-6.751009426766407,NA,NA,0.004736012303378248,6,-238.65674795922956,489.7775843162492,2.416779429329779,0.0587680613946094
3.4455222179119036,-4.826494966888965,1.220408739256984e-4,-15.92145537416647,NA,20.26566938621533,0.00585872886248697,7,-237.67520774490671,489.97263771203563,2.6118328251162097,0.0533072228902027
-0.44565924032292265,NA,0.0025925724015710533,-2.9128425153395474,NA,NA,NA,4,-243.842398844759,495.90337692449066,8.542572037571233,0.00274752973458112
0.8701715788130899,NA,4.97466979563197e-4,-6.0907022675152085,NA,NA,0.005097226035411794,5,-243.51508324043093,497.35983681053216,9.999031923612733,0.00132640501543421
0.21138964561038798,4.171973032640296,NA,-4.609278882798822,NA,NA,NA,4,-249.2808359916476,506.78025121826784,19.41944633134841,1.19415075652953e-05
2.115065191456837,-0.4197290180602658,NA,-9.206328986763529,NA,10.962686082145593,NA,5,-249.01776936269363,508.36520905505756,21.004404168138137,5.40617297041319e-06
-1.998094936769673,NA,0.0030570234786182664,NA,NA,NA,NA,3,-251.762171887155,509.6547785569187,22.293973669999275,2.83702705544049e-06
-2.6306606152947674,1.496840504849793,0.0030560696959877885,NA,NA,NA,NA,4,-250.92513309625576,510.0688454274842,22.708040540564753,2.30648162446501e-06
-5.189867868148012,7.5790567951628365,0.006927898879313722,NA,-0.009202024898815244,NA,NA,5,-250.51468790743132,511.35904614453295,23.99824125761353,1.21000307219744e-06
1.5658446016052354,NA,NA,-3.6521579798270136,NA,NA,NA,3,-254.87564364473917,515.8817220720871,28.52091718516766,1.26095582901016e-07
-1.870437862151111e-15,NA,NA,NA,NA,NA,NA,2,-266.2591097207944,536.5830843064537,49.22227941953423,4.03140268266973e-12
-0.6369038317148558,1.5056220731411865,NA,NA,NA,NA,NA,3,-265.53368608087783,537.1978069443644,49.83700205744498,2.96463243456903e-12
