(Intercept),EVI,GDD,NDMI,EVI:NDMI,df,logLik,AICc,delta,weight
8.616722565451518,-12.671826009291872,-0.003357781245259308,-18.1904710681364,36.96870102422666,6,-138.19064324732685,289.188978802346,0,0.647224739393254
2.358786918867786,2.8156700940626376,-0.0034060732731443387,-3.058407921011845,NA,5,-140.43684179791765,291.44511216726386,2.2561333649178437,0.209479714774573
3.1354137655089827,NA,-0.003144420037774721,-2.423445609822561,NA,4,-142.1767589455885,292.73087638174303,3.541897579397016,0.110139175797771
2.24164297962087,NA,-0.0032800574583015576,NA,NA,3,-144.89467730132108,296.0136536680627,6.824674865716702,0.0213351544826667
1.7197806702047245,1.4536893357132699,-0.003433493002601153,NA,NA,4,-144.40926489607762,297.1958882827213,8.00690948037527,0.0118134516211276
7.7250318615570555,-15.928068753343895,NA,-19.7068306609035,40.45915086850434,5,-151.50598048905624,313.58338954954104,24.394410747195025,3.26494688847339e-06
1.1841733802096512,NA,NA,-2.9091477118438047,NA,3,-153.81000737983095,313.84431382508245,24.655335022736438,2.86561033214294e-06
0.8528777763044323,0.9934246757756618,NA,-3.14743474887311,NA,4,-153.62775506575468,315.6328686220754,26.443889819729407,1.1717565636676e-06
-1.053777060891491e-16,NA,NA,NA,NA,2,-156.9999113143632,318.1109337398375,28.921954937491478,3.39416063062022e-07
0.18263788693418961,-0.4236304183893016,NA,NA,NA,3,-156.96487874896124,320.15405656334303,30.96507776099702,1.22200760209748e-07
