"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"4","BEPA.CPRatio4 = Null",2,1596.58262297036,0,1,0.570676655279789,-796.228811485181,0.570676655279789
"3","BEPA.CPRatio3 = Site",5,1598.52209077643,1.93946780607143,0.379183924371219,0.216391413696031,-793.938464743055,0.78706806897582
"2","BEPA.CPRatio2 = Year",3,1598.5918704806,2.00924751023467,0.366182383136614,0.208971737630785,-796.169619450824,0.996039806606605
"1","BEPA.CPRatio1 = Year*Site",9,1606.52368279136,9.94105982100291,0.006939469762353,0.00396019339339484,-793.250605440626,1
