"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"3","BEPA.P3 = Site",5,278.895676208538,0,1,0.883843395467498,-134.125257459108,0.883843395467498
"4","BEPA.P4 = Null",2,284.069744799587,5.17406859104915,0.0752428575960849,0.0665029027424011,-139.972372399794,0.950346298209899
"2","BEPA.P2 = Year",3,285.543660905206,6.64798469666744,0.0360087847905897,0.0318261266159732,-139.645514663129,0.982172424825872
"1","BEPA.P1 = Year*Site",9,286.702743142204,7.80706693366602,0.0201705135384286,0.0178275751741279,-133.340135616046,1
