(Intercept),EVI,GDD,NDMI,EVI:NDMI,df,logLik,AICc,delta,weight
-69.28566890683341,218.27681131656018,0.04454045338814748,311.95490564082917,-639.8483125806395,6,-440.7292294645551,894.2435056580821,0,0.908538795322827
37.70811273634426,-49.55867028912699,0.04636026599288652,51.057297737787174,NA,5,-444.3315202622383,899.2185960800322,4.975090421950085,0.0755120599972239
24.831672996237646,NA,0.041075364856948515,39.69597535767041,NA,4,-447.08726977475294,902.5415120265701,8.298006368488018,0.0143368680575999
38.3197520220858,NA,0.044629806012198944,NA,NA,3,-450.8993513579493,908.0168845340804,13.773378875998333,0.000927880943134088
46.9951391073008,-25.688278613332894,0.0478964994067883,NA,NA,4,-450.13708655015455,908.6411455773733,14.397639919291237,0.000679103067333941
-69.40113232997118,291.91606126389587,NA,359.1202261344214,-745.5467928956081,5,-454.07271943346154,918.7009944224786,24.457488764396544,4.4408619315016e-06
50.009938533821156,NA,NA,50.49371836817164,NA,3,-458.30081632013224,922.8198144584463,28.576308800364245,5.66339514507252e-07
56.10889384644698,-18.75507502897692,NA,55.31907831761413,NA,4,-457.95918215590166,924.2853367888675,30.041831130785454,2.72171554379015e-07
70.41876127254382,NA,NA,NA,NA,2,-463.42908542301933,930.9662789541468,36.7227732960647,9.64038937561679e-09
66.86149424362739,8.288528113045706,NA,NA,NA,3,-463.3594953789611,932.9371725761041,38.69366691802202,3.59849135110145e-09
