(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
50.764384249729986,NA,0.0032157046978972116,-2.999932715292463,NA,NA,NA,NA,4,-281.5967699271813,571.4085936178035,0,0.698983998319322
51.8018837121482,NA,0.0016221545234810751,-5.459945906677495,NA,NA,0.003818676553008606,NA,5,-281.4272403934332,573.1788051111907,1.7702114933872508,0.288450098744592
49.1247977937189,NA,0.0037413399880568006,NA,NA,NA,NA,NA,3,-287.62726764456573,581.3828775351208,9.97428391731728,0.00477066587248334
48.34365686969442,1.8506241438439683,0.003741645617573111,NA,NA,NA,NA,NA,4,-286.6919624798459,581.5989787231327,10.190385105329256,0.00428206468820284
44.33328740824762,11.353944009279752,0.009519473982109705,NA,-0.01369178208284976,NA,NA,NA,5,-285.9039569723511,582.1322382690266,10.72364465122314,0.00327987569598763
51.83199463575977,5.1232449062591865,NA,-5.413820843543907,NA,NA,NA,NA,4,-289.9606340954347,588.1363219543103,16.727728336506857,0.000162962312180051
53.77801189701343,0.41336786045117174,NA,-10.124893811947745,NA,11.266236994186501,NA,NA,5,-289.7666749780911,589.8576742805066,18.449080662703068,6.89128592720891e-05
53.47654900552253,NA,NA,-4.20131659242015,NA,NA,NA,NA,3,-295.7459081537648,597.6201585535189,26.211564935715387,1.42134081333822e-06
51.68387434554975,NA,NA,NA,NA,NA,NA,NA,2,-306.39480705189067,616.8534438910153,45.44485027321184,9.46767587253957e-11
50.90436404050869,1.84725536241497,NA,NA,NA,NA,NA,NA,3,-305.62984999313716,617.3880422322636,45.979448614460125,7.24697605826988e-11
