"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"4","ABBA.Qty_N4 = Null",2,-473.430716057316,0,1,0.689511335202626,238.769412082712,0.689511335202626
"2","ABBA.Qty_N2 = Year",3,-471.396095015008,2.03462104230852,0.361566057951551,0.249303895382124,238.807138416595,0.93881523058475
"3","ABBA.Qty_N3 = Site",5,-468.297941122928,5.13277493438778,0.0768125326039937,0.0529631119160749,239.426748339242,0.991778342500825
"1","ABBA.Qty_N1 = Year*Site",8,-464.572293445587,8.858422611729,0.0119238902675317,0.0082216574991754,240.971861008508,1
