term,estimate,std.error,statistic,p.value
(Intercept),39.707393174237076,1.7143137085022873,23.162267779406314,2.6886156204679024e-56
EVI,24.975792022129145,3.830425951429617,6.520369363309977,6.630412783751245e-10
SiteDP,8.241891164979526,2.09283223006888,3.938151872168113,1.1662857508811252e-4
SiteTN,11.814727104070402,2.0058604716609874,5.890104157786714,1.8144925918872644e-8
SiteUNI,12.006467561658125,2.0673397153613102,5.807689695333767,2.7540496578523278e-8
EVI:SiteDP,-16.4877210035708,4.664437195465415,-3.5347717876016262,5.168848547644025e-4
EVI:SiteTN,-23.53582392038852,4.740452184467288,-4.964890057852862,1.5677920975393644e-6
EVI:SiteUNI,-23.8375636901418,4.691556338578158,-5.0809501090561575,9.218028031794389e-7
