term,estimate,std.error,statistic,p.value
(Intercept),8.424726250193196,3.2183083796837857,2.6177498413066824,0.010121059204575006
EVI,-27.14844603632065,7.729528373514878,-3.512303044173358,6.497714814275276e-4
GDD,0.0058489678168309415,0.003121636103096263,1.8736866257503606,0.06367678060572649
NDMI,-16.57810613362403,7.819394931473208,-2.120126464887564,0.03628538072065284
EVI:NDMI,64.60839508875333,18.0669032247436,3.5760636056470725,5.233080859300851e-4
GDD:NDMI,-0.019141802370689506,0.007520561733507987,-2.5452623153670673,0.012331470341005483
