term,estimate,std.error,statistic,p.value
(Intercept),-3.989326048123747,170.35605747512275,-0.023417576734577294,0.9813612113821881
NDMI,7.3207200545411695,310.281580368301,0.023593795177437062,0.9812209797312983
SiteDP,-0.7429785320465874,170.3617570015079,-0.0043611814360426625,0.9965284888672375
SiteTN,5.854030250927696,170.36742091438236,0.03436120720445502,0.9726537392736381
SiteUNI,5.614454405104566,170.37525276509305,0.03295346192586762,0.9737736709624212
NDMI:SiteDP,7.925153573996185,310.3032803818932,0.025540025114277304,0.9796722430480771
NDMI:SiteTN,-10.875756847399431,310.34371000405264,-0.0350442315948901,0.9721103788162984
NDMI:SiteUNI,-9.135979301312785,310.32957643008785,-0.029439602265467504,0.9765693458066977
