term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-66.35872675006213,42.56243708547368,-1.5590913325005533,0.12195550615806426,-149.77957053184755,17.06211703171321
EVI,218.69676148276258,104.65199315710515,2.089752472792866,0.03903294974278516,13.582623984516353,423.8108989810331
GDD,0.04365943693142666,0.008678539836357788,5.030735325834452,2.004578081441487e-6,0.02664981141376934,0.06066906244908404
NDMI,309.29969960631803,101.29670227034768,3.0534034442783486,0.002860994689898484,110.7618114037713,507.8375878088876
EVI:NDMI,-636.6367288434506,244.81641658679393,-2.6004658417902538,0.01063816727900619,-1116.4680881777476,-156.8053695092077
