term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-5169.263736124237,2600.176447996748,-1.9880434422466942,0.049409864853255735,-10265.515927647104,-73.0115446012547
EVI,22524.027479224565,5910.366416425011,3.810935886585627,2.3367273677294176e-4,10939.922167596349,34108.132790852724
GDD,-4.400567702839028,2.5988113451656423,-1.6933001739526214,0.09336320313246467,-9.494144341977863,0.6930089362996432
NDMI,15281.043584527884,6242.423416785418,2.447934490223505,0.016025507225198583,3046.118511378815,27515.968657676527
EVI:NDMI,-54830.6647399963,13827.84222295393,-3.9652365029866,1.3413193387543717e-4,-81932.73748088819,-27728.591999104083
GDD:NDMI,14.079715732689772,6.2205286981924655,2.2634275020354773,0.02566605625176789,1.887703519434882,26.271727945944967
