term,estimate,std.error,statistic,p.value
(Intercept),-0.9185279195568303,3.7687218331579837,-0.24372398925159036,0.8077206162334818
EVI,9.241606992059612,8.990899730066904,1.0278845576660482,0.30537579531797515
GDD,0.007266873579318851,0.004199435582001137,1.7304405407395254,0.08525598403977663
NDMI,-20.58232867696987,7.936036198446433,-2.593527569972411,0.010276941114217097
EVI:GDD,-0.022540709922206574,0.010425095389317062,-2.1621586259349512,0.03191845361157744
EVI:NDMI,22.50249069127552,14.553235884223678,1.5462190587915343,0.12379831640438933
GDD:NDMI,0.011487841883007333,0.006718455058422174,1.7098933881542175,0.08899922544047563
