model,term,estimate,std.error,statistic,p.value
ABBA.CNRatio1 = Year*Site,(Intercept),78.03427814499983,8.627271269974234,9.045070648999413,9.10295032172306e-15
ABBA.CNRatio1 = Year*Site,Year2017,-15.223560217268304,5.779502248821213,-2.6340607827210896,0.009724932765304976
ABBA.CNRatio1 = Year*Site,SiteDP,-6.999568000499846,8.840322394800376,-0.7917774587742175,0.43029266175363123
ABBA.CNRatio1 = Year*Site,SiteTN,-15.133249144166486,9.318518005921145,-1.6239974140255522,0.10740352810461888
ABBA.CNRatio1 = Year*Site,SiteUNI,-0.07856388573155486,8.83518715045488,-0.008892158637240638,0.9929222124242404
ABBA.CNRatio1 = Year*Site,Year2017:SiteDP,2.424909132768301,7.869820407374193,0.3081276328105414,0.7586015043141892
ABBA.CNRatio1 = Year*Site,Year2017:SiteTN,4.954726966434977,8.693649310351356,0.5699248715422052,0.569957764957103
ABBA.CNRatio1 = Year*Site,Year2017:SiteUNI,NA,NA,NA,NA
ABBA.CNRatio2 = Year,(Intercept),73.14161678642104,1.324713822701921,55.213145309557866,1.641780029498379e-81
ABBA.CNRatio2 = Year,Year2017,-15.25173532892105,3.4891815394013483,-4.3711498403542075,2.8341581053285235e-5
ABBA.CNRatio3 = Site,(Intercept),78.03427814499989,9.105056490907538,8.570433167869549,8.559056188508655e-14
ABBA.CNRatio3 = Site,SiteDP,-8.668957272391198,9.30088656097485,-0.9320570910696692,0.35340535872490686
ABBA.CNRatio3 = Site,SiteTN,-18.15349421794106,9.625759008574894,-1.8859286007232698,0.062016319224242396
ABBA.CNRatio3 = Site,SiteUNI,-1.7332986919564108,9.300886560974853,-0.18635843804708643,0.8525165448592092
ABBA.CNRatio4 = Null,(Intercept),70.9431684507207,1.3225508713625727,53.64116419781322,1.0566255525308715e-80
