"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","EVI2017","coords.x1","coords.x2","coords.x3","optional"
"1","Bloomfield+E1","Bloomfield","BL",-53.9845843249,48.3502109513,0.382699996232986,723397.905592537,5359620.43684799,0,TRUE
"2","Bloomfield+A1","Bloomfield","BL",-53.9868690878,48.3502685723,0.426499992609024,723228.404580924,5359620.18110404,0,TRUE
"3","Bloomfield+D1","Bloomfield","BL",-53.9850727172,48.350252256,0.386999994516373,723361.546144726,5359623.60328124,0,TRUE
"4","Bloomfield+F1","Bloomfield","BL",-53.9840467441,48.3502519039,0.377950012683868,723437.548959906,5359626.55573128,0,TRUE
"5","Bloomfield+K1","Bloomfield","BL",-53.981671301,48.3502595656,0.389800012111664,723613.481708047,5359634.33756375,0,TRUE
"6","Bloomfield+J1","Bloomfield","BL",-53.9821316844,48.3502836136,0.394299983978271,723579.272496466,5359635.66653278,0,TRUE
"7","Bloomfield+N1","Bloomfield","BL",-53.9801196466,48.3502728155,0.39640000462532,723728.365906462,5359640.33997623,0,TRUE
"8","Bloomfield+C2","Bloomfield","BL",-53.9855639137,48.3505724253,0.418949991464615,723323.759524638,5359657.75333616,0,TRUE
"9","Bloomfield+I2","Bloomfield","BL",-53.982677305,48.3506113811,0.38620001077652,723537.4197233,5359670.50081401,0,TRUE
"10","Bloomfield+L2","Bloomfield","BL",-53.9811385961,48.3506153106,0.375400006771088,723651.385023166,5359675.4281053,0,TRUE
"11","Bloomfield+A3","Bloomfield","BL",-53.9868799683,48.3509161494,0.409150004386902,723224.767912868,5359692.11776296,0,TRUE
"12","Bloomfield+F3","Bloomfield","BL",-53.9839352267,48.350884663,0.399150013923645,723443.04126064,5359697.20250882,0,TRUE
"13","Bloomfield+N3","Bloomfield","BL",-53.9799853176,48.350978146,0.398400008678436,723735.226436193,5359719.11896601,0,TRUE
"14","Bloomfield+C4","Bloomfield","BL",-53.9856577538,48.3512538399,0.349700003862381,723313.828342689,5359733.20868765,0,TRUE
"15","Bloomfield+I4","Bloomfield","BL",-53.982554915,48.3512894113,0.395900011062622,723543.5179109,5359746.21064394,0,TRUE
"16","Bloomfield+L4","Bloomfield","BL",-53.9811245431,48.3512995264,0.437950015068054,723649.429459176,5359751.50927852,0,TRUE
"17","Bloomfield+A5","Bloomfield","BL",-53.9867711132,48.3515938326,0.40294998884201,723229.869095094,5359767.74912711,0,TRUE
"18","Bloomfield+F5","Bloomfield","BL",-53.9838004232,48.3515810129,0.407299995422363,723449.980003867,5359774.98435496,0,TRUE
"19","Bloomfield+N5","Bloomfield","BL",-53.9800547466,48.351705188,0.402549982070923,723726.898129396,5359799.71583637,0,TRUE
"20","Bloomfield+C6","Bloomfield","BL",-53.9855914215,48.3519664094,0.419950008392334,723315.625821054,5359812.59330982,0,TRUE
"21","Bloomfield+I6","Bloomfield","BL",-53.9823780802,48.3519598553,0.41525000333786,723553.682025355,5359821.23625974,0,TRUE
"22","Bloomfield+L6","Bloomfield","BL",-53.9810565731,48.3519851413,0.386699974536896,723651.461598387,5359827.90333881,0,TRUE
