PlotName,Year,EVI,DEM_2016,Aspect_2016,Slope_2016,LandCover,AgeClss,HghtCls,CrwnDns,SppComp
Dunphys Pond+A11,2016,0.46419999,47,153,4.262692928,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+A13,2016,0.463866681,53,162,8.246892929,Mixed,81-100-years,12.6-15.5-meters,26-50%,bSwB
Dunphys Pond+A3,2016,0.459899992,48,171,2.901821613,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+A5,2016,0.442166656,50,130,3.723867178,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+A7,2016,0.465299994,50,131,4.393377304,Mixed,81-100-years,12.6-15.5-meters,26-50%,bS
Dunphys Pond+A9,2016,0.42686668,48,107,5.720433235,Mixed,81-100-years,6.6-9.5-meters,26-50%,CS
Dunphys Pond+B14,2016,0.461600006,57,157,7.233844757,Mixed,81-100-years,12.6-15.5-meters,26-50%,bSwB
Dunphys Pond+C10,2016,0.433699995,54,132,6.396919727,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+C12,2016,0.506166637,53,127,7.454009533,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+C14,2016,0.415133327,58,164,6.918174744,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+C2,2016,0.419,51,131,4.727942467,Deciduous,61-80-years,12.6-15.5-meters,26-50%,bSwB
Dunphys Pond+C4,2016,0.432733327,54,131,4.727942467,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+C6,2016,0.453633338,55,139,5.062306881,Mixed,81-100-years,12.6-15.5-meters,51-75%,bSwB
Dunphys Pond+C8,2016,0.415133327,57,127,5.095619678,Mixed,81-100-years,9.6-12.5-meters,51-75%,bStL
Dunphys Pond+D1,2016,0.411333323,56,110,4.822542191,Deciduous,81-100-years,12.6-15.5-meters,51-75%,bS
Dunphys Pond+E1,2016,0.390500009,59,127,5.095619678,Deciduous,81-100-years,12.6-15.5-meters,51-75%,bS
