(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-10.098052954864537,20.05186679525861,0.012975079700950418,NA,-0.025000964582014475,NA,NA,5,-154.4190294954243,319.3643747803223,0,0.422279646595111
-10.209363565180595,19.789922146986445,0.01301029634969325,0.544284589686363,-0.025053030404532363,NA,NA,6,-154.28882234148404,321.3210075148265,1.9566327345041827,0.158753295557079
-2.9106622663034663,2.7843353774399073,0.0024643581407738924,NA,NA,NA,NA,4,-157.11651663234767,322.58085935165184,3.216484571329545,0.0845569674788724
-11.913812524142433,24.150255513247554,0.0114163144536945,7.440620892774942,-0.02135405523116769,-16.88547557673184,NA,7,-153.87329975012162,322.74659950024324,3.3822247199209414,0.0778322137729245
-10.35647391063747,19.34765835499829,0.013224164220868011,1.3816058653232866,-0.02442005372267146,NA,-0.0012086905269360752,7,-154.2764520379014,323.5529040758028,4.188529295480521,0.0520082893515598
-7.809265268149101,14.50201015399633,0.0024097345868858114,12.499527229729457,NA,-29.315926549766445,NA,6,-155.61966956109097,323.98270195404035,4.618327173718058,0.0419510799936567
-2.0024589169703333,NA,0.002863203505934627,NA,NA,NA,NA,3,-159.063402583271,324.3337017182661,4.969326937943833,0.0351985291159462
-3.002740217918504,2.499616773797884,0.0024770957252887157,0.5201921740332287,NA,NA,NA,5,-157.0028152952553,324.5319463799843,5.167571599661983,0.0318769113114513
-2.4375995467271308,NA,0.002797214797908533,1.223891570790729,NA,NA,NA,4,-158.33944674259072,325.02671957213795,5.662344791815656,0.0248907280913549
-11.9035492103437,24.216686834535107,0.01138612004748317,7.371682593933402,-0.02141184972966576,-16.948812983516397,1.3685506746191446e-4,8,-153.87314594240837,325.04358918211403,5.679214401791739,0.0246816626067022
-4.923547288806127,2.4680143924140316,0.005277845232889454,5.409484808492704,NA,NA,-0.0070526676668898995,6,-156.5408692585654,325.8251013489892,6.460726568666928,0.0166982592905411
-8.404115106196887,13.379832578042857,0.003928590078636535,14.03719272285654,NA,-26.616689199160945,-0.0038090664024261907,7,-155.49403950823935,325.9880790164787,6.623704236156414,0.0153915036502123
-4.436207886428936,NA,0.005696411590928563,6.283145851568385,NA,NA,-0.007311136279627455,5,-157.85363342121727,326.23358263190823,6.869207851585941,0.0136135257428613
-1.9656593664566961,4.610260138754649,NA,NA,NA,NA,NA,3,-164.64218762809875,335.49127180792163,16.12689702759934,0.000132950187687977
-7.608399327189806,18.25027416485265,NA,14.184516043788848,NA,-33.89075869480841,NA,5,-162.96258893352024,336.4514936565142,17.08711887619188,8.22582431350179e-05
-2.0209374697368023,4.435740164080659,NA,0.3297864965853284,NA,NA,NA,4,-164.6018245866124,337.5514752601813,18.187100479858998,4.74593143156451e-05
-0.6563014916709698,NA,NA,1.6689296682649897,NA,NA,NA,3,-168.6306879680327,343.46827248778953,24.10389770746724,2.46323170613131e-06
1.55064019584447e-15,NA,NA,NA,NA,NA,NA,2,-169.77052900432975,343.6436221112236,24.279247330901285,2.2564648834258e-06
