(Intercept),EVI,GDD,NDMI,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-5783.610007998424,22911.67052953116,-3.6522158632675192,16394.250979231903,-55906.80023129525,12.631722199309571,7,-896.6193929823341,1808.295389738253,0,0.791917178769004
-7866.289566557211,19160.86901626295,1.493381340832958,21759.578377712278,-47245.891760188184,NA,6,-899.1448256619725,1811.074698052917,2.779308314663922,0.197315240775459
-7870.1608994365515,21629.893766997717,NA,23340.967973047642,-50789.81927437859,NA,5,-904.3356963036251,1819.226948162806,10.931558424552804,0.00334905294139885
-125.97559102999772,NA,1.5620767427939164,2353.913148932798,NA,NA,4,-905.4511931857295,1819.269358848523,10.97396911026999,0.00327878280979921
1600.1032396087783,NA,-0.9119111151269645,-1941.5485480696852,NA,6.118487285923768,5,-904.8821700541803,1820.3198956639162,12.024505925663107,0.00193906103097178
34.04638359770074,-615.8904510606167,1.6277548597699028,2495.1060002444337,NA,NA,5,-905.3173198081142,1821.1901951717841,12.894805433531019,0.00125489775270874
1708.3491797136094,-556.421862241086,-0.8005104003856002,-1723.592245802242,NA,5.989725672160427,6,-904.7720816398124,1822.3292100085969,14.033820270343767,0.000710026261866211
673.847723215729,NA,1.7728498928945133,NA,NA,NA,3,-909.7467489761469,1825.7116797704757,17.416290032222605,0.000130852021383755
487.8916956157009,550.6256032032442,1.702828656829975,NA,NA,NA,4,-909.6356217410631,1827.6382159591903,19.34282622093724,4.99388362990385e-05
831.5419661998181,NA,NA,2764.5462203640855,NA,NA,3,-910.9458004089863,1828.1097826361545,19.81439289790137,3.94492740014099e-05
680.1160347107402,465.65429009310986,NA,2644.7413377800485,NA,NA,4,-910.8710451925166,1830.1090628620973,21.813673123844183,1.45178007023639e-05
1194.1854592911263,1758.5777683473004,NA,NA,NA,NA,3,-915.281015680644,1836.78021317947,28.484823441216804,5.16748167028475e-07
1948.9311303929826,NA,NA,NA,NA,NA,2,-916.3995041651618,1836.9071164384318,28.61172670017868,4.84978239034092e-07
