"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"1","ABBA.CPRatio1 = Year*Site",8,1811.08763932175,0,1,0.86085224411198,-896.858105375162,0.86085224411198
"3","ABBA.CPRatio3 = Site",5,1814.74063755042,3.65299822866632,0.160976141513948,0.13857667267077,-902.092540997432,0.99942891678275
"2","ABBA.CPRatio2 = Year",3,1825.73139785144,14.6437585296849,0.000660919001574717,0.000568953605681844,-909.756608016628,0.999997870388432
"4","ABBA.CPRatio4 = Null",2,1836.90711643843,25.8194771166782,2.47384099038038e-06,2.12961156814515e-06,-916.399504165162,1
