(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,df,logLik,AICc,delta,weight
-2.109965181574839,NA,0.003136175735876302,NA,NA,NA,NA,3,-129.0937303219031,264.4400922227536,0,0.359064909141589
-2.540137652633791,1.2114510929140203,0.0030139382748738744,NA,NA,NA,NA,4,-128.65264833743169,265.730828589757,1.290736367003376,0.188318559459131
-2.086824815371759,NA,0.0031367720499897076,-0.05652170404123695,NA,NA,NA,4,-129.09210748101577,266.60974687692516,2.169654654171552,0.121349626035661
-2.4194382945649586,1.5788076858360862,0.00298334319976585,-0.6134327444275912,NA,NA,NA,5,-128.50029399777787,267.6457492858783,3.205657063124704,0.072289193174274
-4.059270215970424,NA,0.006205655510764819,4.681833573367298,NA,NA,-0.00736660920053519,5,-128.577160828695,267.7994829477126,3.3593907249589847,0.0669407443294511
-2.5588178524746543,1.2553661766791682,0.00304186209757856,NA,-6.518894612515915e-5,NA,NA,5,-128.65263057562507,267.9504224415727,3.5103302188190924,0.0620746732845849
-4.500473557301865,1.6451335326474132,0.006192993162167903,4.328822036449651,NA,NA,-0.0077199799738584636,6,-127.92868694236671,268.7704173629943,4.330325140240689,0.041195977060812
-3.100011821298371,3.3011313342212993,0.002974297626919663,1.0773125563689385,NA,-4.166248681856402,NA,6,-128.46839413289962,269.8498317440601,5.409739521306506,0.0240139141090756
-2.5879598661002317,1.980509094582487,0.003236526784393497,-0.6186388388745591,-5.916703406105558e-4,NA,NA,6,-128.49883727301838,269.91071802429764,5.470625801544031,0.0232938709539455
-3.0504064773537936,-3.460044692147276,0.004042447892518514,6.060147986224948,0.007552381144244069,NA,-0.010320571114811699,7,-127.75351694578058,270.7378031223304,6.297710899576771,0.0154043159671961
-5.201786778365207,3.4121958027353596,0.006188494904870782,6.070751697506524,NA,-4.274231026107651,-0.007731481261291096,7,-127.89472267510877,271.02021458098676,6.5801223582331545,0.0133757317081448
-3.1386298232589898,3.392285004867344,0.003041587699752849,1.0607345356947027,-1.570616745348383e-4,-4.128803375929427,NA,7,-128.46829399598403,272.1673572227373,7.7272649999836744,0.00753735012213269
-3.910978056959791,-1.4713370299502537,0.003769641282917802,8.857621025460768,0.008487008976961072,-6.338525187881469,-0.010659457364964839,8,-127.68121904454091,272.96243808908184,8.522345866328237,0.00506487898182307
-1.0227242983559484,2.4179392907005237,NA,NA,NA,NA,NA,3,-138.48703509734094,283.22670177362926,18.786609550875653,2.9902846636457e-05
1.071183478194952e-15,NA,NA,NA,NA,NA,NA,2,-139.9723723997937,284.0697447995874,19.62965257683379,1.96176989832543e-05
-0.8423138809629909,3.0263720750450553,NA,-1.0510358273610725,NA,NA,NA,4,-138.11685219773372,284.65923631036105,20.219144087607447,1.46097105344859e-05
-0.010014956262605661,NA,NA,0.024045241167759232,NA,NA,NA,3,-139.97213658545868,286.19690474986476,21.75681252711115,6.77237740533305e-06
-2.2151216343979225,6.467497518904647,NA,2.3382855435505943,NA,-8.345244560934736,NA,5,-138.01105955673034,286.66728040378325,22.227188181029646,5.35303861994314e-06
