(Intercept),EVI,GDD,NDMI,Site,EVI:GDD,EVI:NDMI,EVI:Site,GDD:NDMI,GDD:Site,NDMI:Site,EVI:GDD:NDMI,EVI:GDD:Site,EVI:NDMI:Site,GDD:NDMI:Site,EVI:GDD:NDMI:Site,df,logLik,AICc,delta,weight
39.707393174237076,24.975792022129145,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,9,-261.68477322690495,542.3640215919314,0,0.999867797047416
55.56586574384848,NA,-0.008416841894899253,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,9,-270.73177761512704,560.4580303683756,18.094008776444184,0.000117727656132043
47.7990030489043,6.838710770493262,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-276.6157870436241,565.6880958263786,23.324074234447153,8.61359034871781e-06
58.87353641488109,NA,NA,-15.008540692631488,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,9,-273.8848265468049,566.7641282317313,24.4001066397999,5.02952238524734e-06
50.764384249729986,NA,0.0032157046978972116,-2.999932715292463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-281.5967699271813,571.4085936178035,29.04457202587207,4.93166878307242e-07
51.8018837121482,NA,0.0016221545234810751,-5.459945906677495,NA,NA,NA,NA,0.003818676553008606,NA,NA,NA,NA,NA,NA,NA,5,-281.4272403934332,573.1788051111907,30.814783519259322,2.03515438246555e-07
49.56578809209805,NA,0.0022920518045827162,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-280.8769119350973,574.210345609325,31.846324017393613,1.21506968683724e-07
49.1247977937189,NA,0.0037413399880568006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-287.62726764456573,581.3828775351208,39.01885594318935,3.36593455849712e-09
52.237557643569865,NA,NA,-2.5955157775898012,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-284.5517711026894,581.5600639445091,39.196042352577706,3.08056323559093e-09
48.34365686969442,1.8506241438439683,0.003741645617573111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-286.6919624798459,581.5989787231327,39.23495713120133,3.02120288886203e-09
44.33328740824762,11.353944009279752,0.009519473982109705,NA,NA,-0.01369178208284976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-285.9039569723511,582.1322382690266,39.76821667709521,2.31411028308986e-09
50.85000000000001,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-286.0261091511731,582.3765426266706,40.012521034739166,2.04801925273926e-09
51.83199463575977,5.1232449062591865,NA,-5.413820843543907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-289.9606340954347,588.1363219543103,45.77230036237893,1.14977760539306e-10
53.77801189701343,0.41336786045117174,NA,-10.124893811947745,NA,NA,11.266236994186501,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-289.7666749780911,589.8576742805066,47.49365268857514,4.86213414958845e-11
53.47654900552253,NA,NA,-4.20131659242015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-295.7459081537648,597.6201585535189,55.25613696158746,1.0028244045788e-12
51.68387434554975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-306.39480705189067,616.8534438910153,74.48942229908391,6.67990135126398e-17
50.90436404050869,1.84725536241497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-305.62984999313716,617.3880422322636,75.0240206403322,5.11309066933969e-17
