(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
47.11706998853651,NA,0.00431450962960847,NA,NA,NA,NA,NA,3,-160.67270435990497,327.5980402987573,0,0.450054853619723
46.52527175237746,1.6666213396096419,0.0041463447220872664,NA,NA,NA,NA,NA,4,-160.23162237543357,328.88877666576076,1.2907363670034329,0.23604000155257
47.1489047265181,NA,0.004315329992751749,-0.0777582179398031,NA,NA,NA,NA,4,-160.6710815190177,329.767694952929,2.1696546541716657,0.152100600175186
44.43536588447932,NA,0.008537264080243417,6.440906931790071,NA,NA,-0.010134414972249858,NA,5,-160.1561348666969,330.95743102371637,3.3593907249590416,0.0839040689395401
46.4995729686088,1.7270363379221676,0.004184760172017974,NA,-8.9681943707743e-5,NA,NA,NA,5,-160.23160461362687,331.1083705175763,3.5103302188189787,0.0778048962383325
48.61281246453686,3.3264151093947874,NA,NA,NA,NA,NA,NA,3,-170.0660091353428,346.384649849633,18.786609550875653,3.74804691941559e-05
50.01979797979799,NA,NA,NA,NA,NA,NA,NA,2,-171.55134643779556,347.2276928755911,19.62965257683379,2.45889821574928e-05
48.861007256116714,4.163450189092106,NA,-1.4459343417328774,NA,NA,NA,NA,4,-169.69582623573558,347.8171843863648,20.219144087607447,1.83119290374092e-05
50.00602017240639,NA,NA,0.03307959543777848,NA,NA,NA,NA,3,-171.55111062346054,349.3548528258685,21.75681252711115,8.48855247119903e-06
46.97240381975947,8.897486198102458,NA,3.2168336037471303,NA,-11.480746313959381,NA,NA,5,-169.59003359473218,349.8252284797869,22.22718818102959,6.70954178808185e-06
