(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,df,logLik,AICc,delta,weight
0.8335890772412359,-9.698717022488152,0.02057159773052172,-42.40414032853205,-0.04431553057390794,109.15011259695672,7,-36.23239111329855,87.521386000182,0,0.264989031848572
8.279785071384788,-27.367271490801738,0.0020634454674307245,-28.101491265672138,NA,74.41817480108668,6,-38.116532813962046,89.01811235689605,1.4967263567140492,0.125377007425269
-3.634256689293267,4.565912039284406,0.0019742798649263456,NA,NA,NA,4,-40.4203200313941,89.20761253985242,1.6862265396704146,0.114042953902257
-3.0659068477580065,NA,0.002141081465912013,3.1454387646191804,NA,NA,4,-40.42331101352958,89.21359450412338,1.692208503941373,0.113702363068917
-1.888668238759082,NA,0.0023142149744215194,NA,NA,NA,3,-41.870706487658715,89.95959479349925,2.4382087933172443,0.0783028530082849
-3.707384746078267,2.8728000499978266,0.00198411329390841,1.9419874608615524,NA,NA,5,-40.04643991781402,90.6484353911836,3.1270493910015915,0.0554878312734625
-8.558397713476753,16.4662133051809,0.008931111504886263,NA,-0.016690861383289523,NA,5,-40.077363352650245,90.71028226085605,3.188896260674042,0.0537982159341151
-2.5643062723688015,5.474469186599889,NA,NA,NA,NA,3,-42.31554170022766,90.84926521863714,3.327879218455138,0.0501866385361677
8.88368910043623,-25.1676883143223,NA,-26.204209879023644,NA,69.94020010251994,5,-40.35848625222444,91.27252806000443,3.7511420598224277,0.0406141856556793
-1.594773961129602,NA,NA,3.431573172827991,NA,NA,3,-42.64360727079088,91.50539635976358,3.984010359581575,0.0361502280162451
-2.6364047718897643,3.8733434162406515,NA,1.8595102763455102,NA,NA,4,-41.95385477506344,92.2746820271911,4.7532960270091,0.0246072329572469
-8.217326253490722,13.856262378147266,0.008364890536075135,1.851472788807548,-0.015305044870604894,NA,6,-39.75304072138839,92.29112817174874,4.769742171566733,0.0244057155835534
-0.17041261127680185,NA,NA,NA,NA,NA,2,-44.37747506906546,92.86305824623904,5.34167224605703,0.0183357427902296
