(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
40.23830928970664,19.047698921271767,0.012325306872757002,NA,-0.02374895320031718,NA,NA,NA,5,-148.25391505486914,307.034145899212,0,0.727057014293387
47.06576606782742,2.644899973994515,0.0023409467247581116,NA,NA,NA,NA,NA,4,-150.9514021917924,310.2506304705413,3.2164845713293175,0.145585364600451
47.92848793477492,NA,0.0027198185030966144,NA,NA,NA,NA,NA,3,-152.8982881427158,312.00347283715575,4.9693269379437766,0.0606028201759315
47.515138505085915,NA,0.0026571344121080415,1.16260088852257,NA,NA,NA,NA,4,-152.1743323020355,312.6964906910275,5.662344791815542,0.0428554361916518
45.61661751924017,NA,0.005411143711632159,5.968495187062034,NA,NA,-0.006945005372749479,NA,5,-151.688518980662,313.9033537507977,6.869207851585713,0.0234389922896337
47.963444618149055,4.3793851200180445,NA,NA,NA,NA,NA,NA,3,-158.4770731875435,323.16104292681115,16.12689702759917,0.000228906051450915
42.603284740741096,17.336327388978003,NA,13.474176429793904,NA,-32.19355955350906,NA,NA,5,-156.79747449296508,324.12126477540386,17.08711887619188,0.000141627552113846
47.91093476063956,4.2136048479226815,NA,0.3132712759065075,NA,NA,NA,NA,4,-158.43671014605712,325.22124637907075,18.18710047985877,8.17127409406802e-05
49.20723178438996,NA,NA,1.5853521353635782,NA,NA,NA,NA,3,-162.4655735274775,331.1380436066791,24.103897707467127,4.24105188164537e-06
49.830666666666666,NA,NA,NA,NA,NA,NA,NA,2,-163.6054145637745,331.3133932301131,24.279247330901114,3.88505255754037e-06
