(Intercept),EVI,GDD,NDMI,EVI:NDMI,df,logLik,AICc,delta,weight
8.884699257875978,-13.125454192734805,-0.003266909629731654,-18.636456350902712,37.84773872357451,6,-139.7198797812601,292.22480629149214,0,0.708274053832652
2.5558981763417927,2.717312177673095,-0.003374553567577236,-3.204072919750876,NA,5,-142.22130055336405,294.99815666228363,2.7733503707914906,0.177001094307988
3.2619160397496842,NA,-0.003084781341431912,-2.5811292556482788,NA,4,-143.89724042973506,296.16145333653435,3.936647045042207,0.0989394036073872
2.384888203491079,NA,-0.0033158997853203137,NA,NA,3,-147.20323915365228,300.62466012548634,8.3998538339942,0.0106217542255282
1.9730958930519031,1.2193387450592812,-0.0034709590590150693,NA,NA,4,-146.85066680765198,302.0683060923682,9.843499800876032,0.00516074629600147
8.893168156152415,-18.526673903784847,NA,-22.09589216685917,45.60040752062952,5,-153.74151192010555,318.03857939576665,25.813773104274503,1.75716168327807e-06
1.3710151552304137,NA,NA,-3.3920453919838605,NA,3,-156.6347881494704,319.48775811712267,27.262951825630523,8.51386115683306e-07
1.2165093654399604,0.47512525201364336,NA,-3.514286991044021,NA,4,-156.59131121409723,321.5495949052587,29.324788613766543,3.03671750991309e-07
-2.0796382651104705e-16,NA,NA,NA,NA,2,-161.25678689344986,326.62168189500784,34.396875603515696,2.40444417286676e-08
0.5334227189353324,-1.2428893209570333,NA,NA,NA,3,-160.9422283290646,328.102638476311,35.87783218481883,1.14664521310679e-08
