(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
-7870.1608994365515,21629.893766997717,NA,23340.967973047642,NA,-50789.81927437859,NA,NA,5,-904.3356963036251,1819.226948162806,0,0.379725794645594
-125.97559102999772,NA,1.5620767427939164,2353.913148932798,NA,NA,NA,NA,4,-905.4511931857295,1819.269358848523,0.042410685717186425,0.37175835369186
1600.1032396087783,NA,-0.9119111151269645,-1941.5485480696852,NA,NA,6.118487285923768,NA,5,-904.8821700541803,1820.3198956639162,1.0929475011103023,0.219856629242927
673.847723215729,NA,1.7728498928945133,NA,NA,NA,NA,NA,3,-909.7467489761469,1825.7116797704757,6.484731607669801,0.0148363996241202
487.8916956157009,550.6256032032442,1.702828656829975,NA,NA,NA,NA,NA,4,-909.6356217410631,1827.6382159591903,8.411267796384436,0.00566221693987555
831.5419661998181,NA,NA,2764.5462203640855,NA,NA,NA,NA,3,-910.9458004089863,1828.1097826361545,8.882834473348566,0.00447287850639955
-1.2136549423411214,1732.4774848956283,2.4008013946158697,NA,-1.6714372060972238,NA,NA,NA,5,-909.6186229701455,1829.7928014958466,10.56585333304065,0.00192807622787941
680.1160347107402,465.65429009310986,NA,2644.7413377800485,NA,NA,NA,NA,4,-910.8710451925166,1830.1090628620973,10.882114699291378,0.00164607233885914
1194.1854592911263,1758.5777683473004,NA,NA,NA,NA,NA,NA,3,-915.281015680644,1836.78021317947,17.553265016664,5.85904767078965e-05
1948.9311303929826,NA,NA,NA,NA,NA,NA,NA,2,-916.3995041651618,1836.9071164384318,17.680168275625874,5.49883057764148e-05
