(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
1.508122711375601,NA,-5.753481558219353e-4,-0.4814110929774827,NA,NA,NA,NA,4,47.53848049868264,-86.70998852030105,0,0.584968398728012
1.8362094449708237,NA,-0.001045594694306578,-1.2978766983933134,NA,NA,0.001162979623265379,NA,5,47.912819998359666,-85.27008444116377,1.4399040791372784,0.284748344072079
1.3445466609701402,NA,-6.184544754438969e-4,NA,NA,NA,NA,NA,3,44.232481774765475,-82.24678173134913,4.463206788951922,0.0627999597172225
2.2476202779198156,-2.140310858291381,-0.0020456992772061133,NA,0.0033485712666795806,NA,NA,NA,5,45.87087515924106,-81.18619476292656,5.5237937573744915,0.0369535215184265
1.267742531221723,0.22742107807435308,-6.473748614580182e-4,NA,NA,NA,NA,NA,4,44.58505412076572,-80.80313576446721,5.906852755833839,0.0305123478305268
2.558417744162837,-3.45544350936365,NA,-4.121144872959347,NA,8.505014608116273,NA,NA,5,37.69420900831217,-64.83286246106879,21.877126059232268,1.03890261988264e-05
1.155447362190161,NA,NA,-0.6326565304743127,NA,NA,NA,NA,3,34.80093277894733,-63.383683739712836,23.326304780588217,5.03372725761372e-06
1.1266302074616235,0.08861647140396459,NA,-0.6554560325457758,NA,NA,NA,NA,4,34.844409714320506,-61.32184695157679,25.388141568724265,1.79542600257862e-06
0.8997368421052632,NA,NA,NA,NA,NA,NA,NA,2,30.17893403496786,-56.249759961827614,30.46022855847344,1.42160130984232e-07
0.999226479665929,-0.23181353864500126,NA,NA,NA,NA,NA,NA,3,30.493492599353118,-54.76880338052442,31.941185139776636,6.7794143664126e-08
