(Intercept),EVI,GDD,NDMI,Site,EVI:GDD,EVI:NDMI,EVI:Site,GDD:NDMI,GDD:Site,NDMI:Site,EVI:GDD:NDMI,EVI:GDD:Site,EVI:NDMI:Site,GDD:NDMI:Site,EVI:GDD:NDMI:Site,df,logLik,AICc,delta,weight
0.1570032390621147,NA,-5.9046566535266674e-5,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,238.27426705034165,-463.76348737171134,0,0.543950467753104
0.07288401188077374,NA,8.878333495956309e-5,0.151540264850799,NA,NA,NA,NA,-3.9932280990087274e-4,NA,NA,NA,NA,NA,NA,NA,5,235.7791891650152,-461.00282277447485,2.7606645972364845,0.136800805341143
0.18553647262001735,NA,-7.268137631938684e-5,-0.12880285829579602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,234.59594931745724,-460.82492615785026,2.938561213861078,0.125158080692975
0.17383082491183982,NA,NA,-0.08894098629530604,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,235.84194012166785,-458.89883351436373,4.864653857347605,0.0477763746014005
0.16567236340725097,-0.08792598627143627,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,235.8288969840872,-458.87274723920245,4.890740132508881,0.0471572671035393
0.12500000000000058,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,234.42713350003055,-458.29871144450556,5.464775927205778,0.035391448642352
0.12500000000163491,NA,-3.0163085317245392e-15,NA,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,9,238.85965888463735,-457.9885485385055,5.7749388332058516,0.0303073050489818
0.48492241257999247,-0.8602152464189614,NA,-0.9328987824551284,NA,NA,1.9551429815450332,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,233.80536951721058,-457.0551834788656,6.70830389284572,0.0190050787173897
0.12499999999982842,3.710565550448618e-13,NA,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,9,237.24359671067293,-454.75642419057664,9.007063181134697,0.00602144100464442
0.12500000000409558,NA,NA,-7.45912379977866e-12,+,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,9,237.11444966620746,-454.4981301016457,9.265357270065635,0.00529191167461372
0.14098444005792587,NA,NA,-0.14790907502398426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,228.83371767290402,-451.4492535276262,12.314233844085152,0.00115227847950694
0.14177125169282526,NA,-8.421459036225584e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,228.45278317998205,-450.6873845417823,13.076102829929027,0.00078726274947726
0.1557813725665361,-0.04550247791178046,NA,-0.1362020658983654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,229.1795185290567,-449.9920645810492,13.771422790662143,0.000556074386759324
0.1612026137393898,-0.05753728763750274,-7.689776387118597e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,229.02549305863627,-449.6840136402083,14.079473731503015,0.000476694871596446
0.16302195551311494,-0.06193346219634849,-7.949403675457673e-5,NA,NA,6.21730170758014e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,229.0256045048571,-447.4956534541587,16.26783391755265,0.000159604121879015
0.1293072079127617,-0.11208700406984153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,223.5607762346204,-440.90337065105894,22.8601167206524,5.90946385744189e-06
0.08120175438596491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,221.4200021301254,-438.73189615214267,25.031591219568668,1.9953467803718e-06
