"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"4","VAAN.N4 = Null",2,-45.7762422365207,0,1,0.516084105802152,24.9200360118774,0.516084105802152
"3","VAAN.N3 = Site",5,-44.2183980538445,1.55784418267617,0.458900397519206,0.236831201305952,27.2713611890844,0.752915307108103
"2","VAAN.N2 = Year",3,-43.7118006349505,2.0644416015702,0.356214998950814,0.183836899206845,24.9200714404699,0.936752206314949
"1","VAAN.N1 = Year*Site",9,-41.5778232297399,4.19841900678073,0.122553267915013,0.0632477936850512,30.2861491839307,1
