(Intercept),EVI,GDD,NDMI,EVI:GDD,EVI:NDMI,GDD:NDMI,EVI:GDD:NDMI,df,logLik,AICc,delta,weight
-8.122112203912438,NA,0.009695765886656573,13.8542019811333,NA,NA,-0.015218967779319012,NA,5,-133.44894825847612,277.4534520725078,0,0.81732699278079
-3.8287081514939407,NA,0.003542032171666968,3.1697811252828454,NA,NA,NA,NA,4,-136.0581574327195,280.4832873425032,3.0298352699954307,0.179669960617519
-2.7516655060561948,NA,0.0038258594459265045,NA,NA,NA,NA,NA,3,-141.66341919284093,289.5450202038637,12.091568131355928,0.00193528612752249
-2.926494193972345,0.5176769636535681,0.0037600281793339486,NA,NA,NA,NA,NA,4,-141.59355577345426,291.55408402397273,14.100631951464948,0.00070873277684466
-5.784682460003413,7.424072848682941,0.00783877621771282,NA,-0.009767388977495796,NA,NA,NA,5,-141.17939051877988,292.9143365931153,15.460884520607522,0.00035901072741732
-8.59929016678176,17.446080993555256,NA,19.493743348593377,NA,-38.627350477318174,NA,NA,5,-151.87504680413434,314.3056491638242,36.85219709131644,8.12910850897665e-09
-1.6575228955263845,NA,NA,4.100897702281858,NA,NA,NA,NA,3,-154.3677994758955,314.9537807699728,37.50032869746502,5.87899283091896e-09
-2.096519561727707,1.3499714278988153,NA,3.7535731487404678,NA,NA,NA,NA,4,-154.00153614108206,316.37004475922834,38.91659268672055,2.89577699002863e-09
-1.3669218649211556,3.1849648096805874,NA,NA,NA,NA,NA,NA,3,-159.15873458620712,324.5356509905961,47.082198918088295,4.88232009240916e-11
-2.7243261272947164e-15,NA,NA,NA,NA,NA,NA,NA,2,-161.25678689344986,326.62168189500784,49.16822982250005,1.72048303112888e-11
